# Name, WireFrame, STL_filename, Price, URL, Color, Length, Dim1, Dim2, Interfaces,
2020 Corner Two Way, Prism, CornerTwoWay.stl, 1.15,"https://www.amazon.com/Aluminum-Profile-Connection-Bracket-Set%EF%BC%8C20pcs/dp/B078GKCK8W/ref=pd_di_sccai_4?pd_rd_w=Xefml&pf_rd_p=c9443270-b914-4430-a90b-72e3e7e784e0&pf_rd_r=R0WRDF12KBNMZM3PS1VX&pd_rd_r=22461801-e7e5-4ab9-a10f-399ba4b8f50e&pd_rd_wg=GKmyH&pd_rd_i=B078GKCK8W&psc=1", #800080, 20, 20, 20, 2020+X, 2020-Z, NA, NA, NA, NA
3030 Corner Two Way, Prism, CornerTwoWay.stl, 1.15,"https://www.amazon.com/Boeray-Aluminum-Bracket-Extrusion-30mmx30mm/dp/B077RX1SSG/ref=sr_1_7?dchild=1&keywords=Boeray+20+Sets+Aluminum+Profile+3030&qid=1613676382&s=hi&sr=1-7", #006400, 30, 30, 30, 3030+X, 3030+Z, NA, NA, NA, NA
2020 Corner Three Way, Cube, CornerThreeWay.stl, 1.15,"https://www.amazon.com/Aluminum-Profile-Connection-Bracket-Set%EF%BC%8C20pcs/dp/B078GKCK8W/ref=pd_di_sccai_4?pd_rd_w=Xefml&pf_rd_p=c9443270-b914-4430-a90b-72e3e7e784e0&pf_rd_r=R0WRDF12KBNMZM3PS1VX&pd_rd_r=22461801-e7e5-4ab9-a10f-399ba4b8f50e&pd_rd_wg=GKmyH&pd_rd_i=B078GKCK8W&psc=1", #800080, 5, 20, 20, 2020-X, 2020+Z, 2020+Y, NA, NA, NA
3030 Corner Three Way, Cube, CornerThreeWay.stl, 1.15,"https://www.amazon.com/Boeray-Aluminum-Bracket-Extrusion-30mmx30mm/dp/B077RX1SSG/ref=sr_1_7?dchild=1&keywords=Boeray+20+Sets+Aluminum+Profile+3030&qid=1613676382&s=hi&sr=1-7", #006400, 30, 30, 6, 3030-X, 3030+Z, 3030+Y, NA, NA, NA
2020 Alex, Cube, Alex11.stl, {piecewise}, "https://us.misumi-ec.com/vona2/detail/110302683830/?CategorySpec=unitType%3a%3a1%0900000042730%3a%3amig00000001495349&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302683830%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042737%22%3a%22a%22%2c%2200000332694%22%3a%224000%22%2c%22fixedInfo%22%3a%22MDM00001300718110302683830-1897579906-1255582774045885826%7c42%22%7d&Tab=wysiwyg_area_0", silver, NA, 20, 20,NA,NA,NA,NA,NA,NA
2040 Alex, Cube, Alex12.stl, {piecewise}, "https://us.misumi-ec.com/vona2/detail/110302684350/?CategorySpec=unitType%3a%3a1%0900000042730%3a%3amig00000001423218&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302684350%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042737%22%3a%22a%22%2c%2200000332699%22%3a%22100%22%2c%22fixedInfo%22%3a%22MDM00001300716110302684350-36090445-1255582776479363661%7c55%22%7d&Tab=wysiwyg_area_0", silver, NA, 20, 40, NA,NA,NA,NA,NA,NA
2060 Alex, Cube, Alex13.stl, {piecewise}, "https://us.misumi-ec.com/vona2/detail/110302684870/?CategorySpec=unitType%3a%3a1%0900000042730%3a%3amig00000001423218%2cmig00000001504312", silver, NA,20, 60, NA,NA,NA,NA,NA,NA
2080 Alex, Cube, Alex14.stl, {piecewise}, "https://us.misumi-ec.com/vona2/detail/110302684870/?CategorySpec=unitType%3a%3a1%0900000042730%3a%3amig00000001423218%2cmig00000001504312", silver, NA,20, 80, NA,NA,NA,NA,NA,NA
3030 Alex, Cube, Alex11.stl, {piecewise}, "https://us.misumi-ec.com/vona2/detail/110300458170/?KWSearch=Aluminum+Extrusion+-+5+Series%2c+Base+30&searchFlow=results2products&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110300458170%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042747%22%3a%22mig00000001423219%22%2c%22jp000151686%22%3a%22mig00000000358710%22%2c%2200000332677%22%3a%221800%22%2c%2200000353520%22%3a%22mig00000009008864%22%2c%22fixedInfo%22%3a%22MDM00001306332110300458170851413268-1255582775591859948%7c21%22%7d&Tab=wysiwyg_area_0", #2F4F4F, NA,30, 30, NA,NA,NA,NA,NA,NA
3060 Alex, Cube, Alex12.stl, {piecewise}, "https://us.misumi-ec.com/vona2/mech/M1500000000/M1501000000/M1501010000/?curSearch=%7b%22field%22%3a%22%40search%2cseriesList.templateType%22%2c%22categoryCode%22%3a%22M1501010000%22%2c%22sort%22%3a1%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22brandModeFlag%22%3a1%2c%22pageSize%22%3a45%2c%22unitType%22%3a%221%22%2c%2200000042730%22%3a%22mig00000001501767%22%7d&resultTabs=&listDisplay=mc-list", #2F4F4F, NA, 30, 60, NA,NA,NA,NA,NA,NA
